timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
35,-10277.0,9985.0,19744.0,4292.0,11.0,15620.0,0.884,0.001,-0.404,0.234
3626630,-10277.0,9985.0,19744.0,4292.0,11.0,15620.0,0.978,-0.04,0.095,-0.18
3626637,1924.0,-2948.0,-2537.0,4998.0,4724.0,32497.0,0.193,0.289,0.021,-0.937
3626643,241.0,-141.0,1948.0,15167.0,-2536.0,-11542.0,0.944,-0.154,0.291,0.021
3626647,241.0,-141.0,1948.0,15167.0,-2536.0,-11542.0,0.341,0.021,-0.937,0.065
3626661,1.0,27.0,-60.0,241.0,-141.0,1941.0,0.848,0.031,0.501,0.172
3626669,1789.0,1466.0,-2472.0,-6711.0,4865.0,2323.0,0.199,0.297,0.021,-0.934
3626680,1700.0,-878.0,-2504.0,18847.0,4860.0,2755.0,0.177,0.299,0.021,-0.937
3626690,1571.0,-19864.0,-1810.0,-31830.0,5056.0,-30521.0,0.162,0.307,0.021,-0.937
3626695,1571.0,-19864.0,-1810.0,-31830.0,5056.0,-30521.0,0.992,-0.003,0.015,0.125
3626725,2197.0,482.0,7436.0,127.0,172.0,1.0,0.937,0.133,-0.101,0.308
3626738,2393.0,1536.0,7618.0,306.0,141.0,48.0,0.936,0.136,-0.099,0.309
3626761,2619.0,1178.0,7760.0,333.0,193.0,101.0,0.936,0.138,-0.096,0.311
3626774,2001.0,1128.0,7522.0,381.0,77.0,37.0,0.935,0.141,-0.095,0.311
3626797,2707.0,1192.0,8160.0,336.0,110.0,150.0,0.934,0.143,-0.093,0.313
3626810,2081.0,1818.0,7150.0,281.0,94.0,65.0,0.934,0.146,-0.092,0.314
3626833,2419.0,1862.0,7744.0,135.0,272.0,129.0,0.933,0.146,-0.089,0.316
3626846,2327.0,1550.0,7968.0,133.0,269.0,124.0,0.933,0.146,-0.087,0.318
3626869,1825.0,2104.0,7550.0,157.0,353.0,42.0,0.933,0.146,-0.083,0.319
3634879,6530.0,21484.0,-148.0,-3773.0,5824.0,-24691.0,0.196,-0.937,0.287,0.013
3634884,9250.0,4314.0,335.0,68.0,-4.0,1542.0,0.216,0.642,0.082,0.731
3634888,9558.0,3890.0,1035.0,-109.0,121.0,1628.0,0.204,0.642,0.072,0.735
3634891,10000.0,3334.0,1415.0,-196.0,131.0,1643.0,0.193,0.642,0.062,0.74
3634894,10024.0,1756.0,1093.0,-63.0,109.0,1576.0,0.182,0.642,0.053,0.743
3634897,10062.0,858.0,1211.0,460.0,173.0,1354.0,0.168,0.642,0.049,0.746
3634901,10348.0,2524.0,1459.0,559.0,205.0,937.0,0.158,0.642,0.049,0.749
3634904,9412.0,1630.0,2131.0,99.0,82.0,987.0,0.149,0.642,0.044,0.751
3634907,8256.0,1538.0,1775.0,-191.0,-36.0,879.0,0.143,0.642,0.038,0.752
3634910,7822.0,824.0,1805.0,-385.0,-138.0,811.0,0.139,0.643,0.031,0.753
3634914,7512.0,-14.0,265.0,-603.0,-144.0,639.0,0.137,0.643,0.023,0.753
3634917,6512.0,-162.0,523.0,-152.0,-54.0,460.0,0.134,0.644,0.02,0.753
3634920,6522.0,1622.0,587.0,-260.0,8.0,146.0,0.133,0.643,0.018,0.754
3634924,6406.0,-1820.0,183.0,202.0,102.0,156.0,0.13,0.643,0.019,0.755
3634927,5302.0,1462.0,855.0,5.0,-107.0,-86.0,0.13,0.644,0.02,0.754
3634930,5194.0,-1076.0,1347.0,-170.0,-117.0,42.0,0.13,0.644,0.019,0.753
3634933,5412.0,136.0,781.0,93.0,-46.0,-194.0,0.13,0.645,0.022,0.753
3634937,5270.0,1310.0,603.0,210.0,-196.0,-364.0,0.13,0.646,0.026,0.751
3634940,5994.0,1212.0,1101.0,80.0,-296.0,-311.0,0.131,0.649,0.029,0.749
3634943,6864.0,680.0,1445.0,3.0,-183.0,-320.0,0.133,0.65,0.031,0.748
3634946,7712.0,1206.0,1015.0,-171.0,-213.0,-525.0,0.137,0.651,0.033,0.746
3634950,9168.0,2186.0,261.0,-263.0,-214.0,-698.0,0.142,0.652,0.036,0.744
3634953,11934.0,2378.0,-941.0,-156.0,300.0,-852.0,0.148,0.649,0.041,0.745
3634956,14660.0,4280.0,-1107.0,-370.0,731.0,-1084.0,0.156,0.643,0.047,0.748
3634959,14830.0,-2674.0,3037.0,1840.0,1306.0,-717.0,0.149,0.636,0.067,0.754
3634963,12346.0,7088.0,4029.0,1054.0,591.0,-711.0,0.146,0.633,0.08,0.756
3634966,11846.0,3626.0,2609.0,519.0,469.0,-179.0,0.143,0.63,0.086,0.758
3634969,9680.0,3464.0,3419.0,210.0,567.0,-279.0,0.142,0.626,0.091,0.761
3634973,7132.0,3606.0,3435.0,52.0,324.0,-295.0,0.143,0.623,0.095,0.763
3634976,5692.0,3122.0,2965.0,193.0,126.0,-253.0,0.142,0.622,0.098,0.763
3634979,5648.0,3814.0,2529.0,478.0,-158.0,-267.0,0.141,0.624,0.104,0.762
3634982,4898.0,3836.0,2643.0,595.0,-372.0,-278.0,0.139,0.627,0.11,0.759
3634995,4770.0,2450.0,1107.0,374.0,-446.0,-206.0,0.137,0.63,0.114,0.756
3635008,4206.0,2788.0,1681.0,305.0,-357.0,-219.0,0.137,0.633,0.118,0.753
3635031,5324.0,3114.0,1471.0,232.0,-327.0,-388.0,0.137,0.635,0.122,0.75
3635044,5672.0,3094.0,1257.0,158.0,-240.0,-351.0,0.138,0.636,0.126,0.749
3635067,6194.0,3436.0,1333.0,105.0,-136.0,-212.0,0.138,0.637,0.128,0.747
3635080,6722.0,3156.0,989.0,38.0,-38.0,-64.0,0.137,0.637,0.13,0.747
3635103,6954.0,3164.0,771.0,21.0,101.0,22.0,0.136,0.636,0.131,0.748
3635116,7304.0,3254.0,1233.0,34.0,187.0,59.0,0.134,0.635,0.132,0.749
3635129,8074.0,3616.0,1253.0,73.0,179.0,69.0,0.132,0.634,0.133,0.75
3635152,8492.0,3854.0,1271.0,134.0,155.0,170.0,0.129,0.633,0.134,0.751
3635165,8414.0,3186.0,1111.0,210.0,110.0,239.0,0.125,0.633,0.135,0.752
3635188,8134.0,3708.0,1069.0,288.0,63.0,287.0,0.12,0.633,0.136,0.753
3635201,8208.0,3372.0,1379.0,244.0,18.0,354.0,0.115,0.633,0.137,0.753
3635224,7920.0,2768.0,1527.0,282.0,18.0,340.0,0.11,0.634,0.137,0.753
3635237,7514.0,3112.0,1613.0,288.0,-5.0,283.0,0.105,0.634,0.139,0.753
3635260,7434.0,3148.0,1659.0,182.0,-39.0,236.0,0.102,0.635,0.139,0.753
3635273,7214.0,3066.0,1637.0,91.0,-60.0,240.0,0.099,0.636,0.139,0.753
3635286,7234.0,2926.0,1391.0,11.0,-75.0,198.0,0.096,0.636,0.139,0.753
3635309,7234.0,2978.0,1305.0,-47.0,-79.0,141.0,0.095,0.637,0.139,0.753
3635322,7318.0,2826.0,1171.0,-70.0,-85.0,119.0,0.093,0.637,0.138,0.752
3635345,7480.0,2724.0,1129.0,-59.0,-82.0,102.0,0.092,0.638,0.138,0.752
3635358,7526.0,2926.0,1089.0,-67.0,-44.0,65.0,0.091,0.638,0.138,0.752
3635381,7714.0,2860.0,1149.0,-101.0,-53.0,52.0,0.09,0.638,0.138,0.752
3635394,7948.0,2586.0,1295.0,-96.0,-61.0,29.0,0.09,0.638,0.138,0.752
3635417,7956.0,2894.0,1263.0,-74.0,-55.0,13.0,0.089,0.639,0.138,0.752
3635430,8142.0,2522.0,1183.0,-77.0,-39.0,20.0,0.088,0.639,0.138,0.752
3635453,8064.0,2512.0,1183.0,-26.0,-25.0,-12.0,0.087,0.639,0.139,0.752
3635466,7898.0,2884.0,1363.0,-28.0,-34.0,-23.0,0.087,0.639,0.14,0.752
3635479,7848.0,2944.0,1441.0,-96.0,-52.0,17.0,0.086,0.639,0.14,0.751
3635502,7770.0,2734.0,1323.0,-114.0,-83.0,23.0,0.086,0.639,0.14,0.751
3635515,7706.0,2926.0,1337.0,-100.0,-102.0,17.0,0.086,0.64,0.14,0.751
3635538,7722.0,2976.0,1389.0,-170.0,-137.0,42.0,0.086,0.641,0.139,0.75
3635551,7686.0,2748.0,1113.0,-227.0,-142.0,38.0,0.086,0.641,0.138,0.75
3635574,7552.0,2568.0,1009.0,-268.0,-134.0,44.0,0.086,0.642,0.137,0.75
3635587,7506.0,2708.0,1035.0,-263.0,-118.0,45.0,0.087,0.643,0.135,0.749
3635610,7656.0,2512.0,1037.0,-305.0,-133.0,23.0,0.087,0.643,0.134,0.749
3635623,7508.0,2518.0,963.0,-276.0,-144.0,33.0,0.088,0.644,0.132,0.748
3635646,7580.0,2256.0,1001.0,-281.0,-172.0,47.0,0.089,0.645,0.131,0.748
3635659,7518.0,2612.0,941.0,-228.0,-182.0,68.0,0.089,0.646,0.129,0.747
3635672,7572.0,2320.0,943.0,-198.0,-206.0,108.0,0.088,0.647,0.128,0.746
3635695,7660.0,2226.0,729.0,-120.0,-180.0,134.0,0.087,0.648,0.127,0.745
3635708,7772.0,2548.0,669.0,-131.0,-151.0,116.0,0.087,0.649,0.126,0.745
3635731,7746.0,2250.0,837.0,-128.0,-127.0,179.0,0.085,0.65,0.125,0.744
3635744,7594.0,2362.0,841.0,-98.0,-128.0,178.0,0.084,0.651,0.124,0.744
3635767,7836.0,2012.0,719.0,-75.0,-152.0,142.0,0.082,0.652,0.123,0.743
3635780,7854.0,2366.0,841.0,-44.0,-187.0,121.0,0.081,0.654,0.123,0.742
3635803,7926.0,2444.0,775.0,-147.0,-218.0,119.0,0.08,0.655,0.122,0.741
3635816,7956.0,2102.0,737.0,-201.0,-220.0,117.0,0.08,0.657,0.12,0.74
3635829,7946.0,2044.0,737.0,-150.0,-202.0,71.0,0.079,0.658,0.119,0.739
3635852,8014.0,2498.0,777.0,-153.0,-211.0,36.0,0.079,0.659,0.119,0.738
3635865,8068.0,2212.0,797.0,-223.0,-219.0,48.0,0.08,0.661,0.118,0.737
3635888,8076.0,2176.0,819.0,-187.0,-175.0,36.0,0.08,0.662,0.117,0.736
3635901,8136.0,2016.0,797.0,-227.0,-145.0,19.0,0.08,0.662,0.116,0.736
3635924,8152.0,2222.0,921.0,-285.0,-53.0,-1.0,0.081,0.662,0.115,0.736
3635937,8122.0,1934.0,795.0,-314.0,15.0,-28.0,0.082,0.662,0.113,0.736
3635960,8010.0,1984.0,951.0,-366.0,-16.0,-57.0,0.084,0.662,0.112,0.737
3635973,7782.0,4352.0,-731.0,-629.0,-11.0,-99.0,0.087,0.661,0.11,0.737
