timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
2230809,2044.0,6416.0,4284.0,-2.0,117.0,-118.0,0.042,0.188,0.446,0.874
2230831,2082.0,6428.0,4234.0,32.0,116.0,-117.0,0.042,0.187,0.447,0.874
2230853,2004.0,6320.0,4116.0,72.0,119.0,-106.0,0.043,0.185,0.448,0.874
2230865,1890.0,6356.0,4174.0,106.0,126.0,-120.0,0.043,0.184,0.449,0.873
2230887,1910.0,6480.0,4212.0,92.0,106.0,-113.0,0.043,0.183,0.45,0.873
2230899,1916.0,6512.0,4208.0,54.0,90.0,-103.0,0.044,0.181,0.451,0.873
2230921,1922.0,6570.0,4206.0,46.0,76.0,-97.0,0.044,0.18,0.451,0.873
2230933,1768.0,6376.0,4162.0,35.0,68.0,-90.0,0.045,0.179,0.452,0.873
2230955,1742.0,6464.0,4126.0,47.0,52.0,-93.0,0.045,0.179,0.452,0.873
2230967,1724.0,6420.0,4224.0,50.0,38.0,-81.0,0.046,0.178,0.453,0.872
2230989,1746.0,6488.0,4202.0,54.0,20.0,-86.0,0.046,0.178,0.454,0.872
2231011,1716.0,6386.0,4230.0,54.0,13.0,-60.0,0.047,0.177,0.454,0.872
2231023,1808.0,6666.0,4250.0,37.0,-1.0,-71.0,0.047,0.177,0.454,0.872
2231045,1788.0,6510.0,4254.0,1.0,-12.0,-29.0,0.048,0.177,0.455,0.872
2231057,1770.0,6552.0,4284.0,28.0,-7.0,-43.0,0.048,0.177,0.455,0.872
2231079,1882.0,6676.0,4324.0,40.0,-5.0,-23.0,0.048,0.177,0.455,0.871
2231091,1740.0,6552.0,4334.0,58.0,4.0,-11.0,0.048,0.177,0.456,0.871
2231113,1846.0,6714.0,4374.0,91.0,8.0,-18.0,0.048,0.177,0.456,0.871
2231125,1766.0,6604.0,4340.0,66.0,6.0,-1.0,0.048,0.177,0.457,0.87
2231147,1794.0,6634.0,4326.0,67.0,8.0,-20.0,0.048,0.177,0.458,0.87
2231159,1786.0,6530.0,4324.0,60.0,22.0,4.0,0.048,0.176,0.458,0.87
2231181,1764.0,6668.0,4334.0,49.0,18.0,-5.0,0.048,0.176,0.458,0.87
2231203,1742.0,6628.0,4322.0,18.0,22.0,22.0,0.048,0.176,0.459,0.87
2231215,1724.0,6500.0,4306.0,18.0,13.0,19.0,0.048,0.176,0.459,0.87
2231237,1780.0,6538.0,4340.0,49.0,24.0,25.0,0.047,0.176,0.459,0.87
2231249,1724.0,6524.0,4308.0,84.0,35.0,22.0,0.047,0.176,0.46,0.869
2231271,1776.0,6644.0,4286.0,103.0,52.0,19.0,0.046,0.176,0.46,0.869
2231283,1752.0,6902.0,4288.0,66.0,49.0,21.0,0.046,0.175,0.461,0.869
2231305,1756.0,6938.0,4348.0,20.0,46.0,37.0,0.046,0.175,0.461,0.869
2231317,1752.0,6890.0,4306.0,26.0,53.0,26.0,0.045,0.175,0.461,0.869
2231339,1730.0,6976.0,4342.0,51.0,66.0,14.0,0.045,0.174,0.462,0.869
2231361,1810.0,7176.0,4356.0,82.0,75.0,-8.0,0.044,0.174,0.463,0.868
2231373,1816.0,7310.0,4380.0,82.0,86.0,-32.0,0.044,0.173,0.463,0.868
2231395,1794.0,7332.0,4404.0,78.0,101.0,-72.0,0.044,0.172,0.464,0.868
2231407,1900.0,7404.0,4552.0,73.0,128.0,-122.0,0.045,0.17,0.465,0.868
2231429,1880.0,7500.0,4586.0,66.0,159.0,-180.0,0.045,0.168,0.466,0.868
2231441,1820.0,7380.0,4582.0,61.0,194.0,-223.0,0.046,0.166,0.467,0.867
2231463,1800.0,7346.0,4704.0,72.0,234.0,-279.0,0.047,0.162,0.468,0.867
2231475,1796.0,7222.0,4686.0,92.0,275.0,-321.0,0.048,0.159,0.469,0.867
2231497,1624.0,7124.0,4714.0,133.0,334.0,-346.0,0.05,0.155,0.471,0.867
2231519,1532.0,7172.0,4760.0,142.0,382.0,-376.0,0.051,0.15,0.473,0.867
2231531,1448.0,7030.0,4748.0,108.0,417.0,-387.0,0.052,0.145,0.474,0.867
2231548,1370.0,6966.0,4808.0,115.0,452.0,-415.0,0.053,0.14,0.476,0.867
2231570,1294.0,6968.0,4854.0,126.0,511.0,-442.0,0.054,0.133,0.478,0.867
2231582,1140.0,7040.0,4796.0,126.0,552.0,-440.0,0.055,0.127,0.479,0.867
2231604,930.0,6978.0,4770.0,139.0,593.0,-441.0,0.056,0.12,0.481,0.866
2231616,886.0,7072.0,4810.0,145.0,643.0,-458.0,0.057,0.113,0.483,0.866
2231638,800.0,7336.0,4968.0,125.0,694.0,-457.0,0.057,0.106,0.485,0.866
2231650,820.0,7860.0,5118.0,96.0,756.0,-496.0,0.058,0.097,0.487,0.866
2231672,762.0,8000.0,5064.0,63.0,833.0,-539.0,0.058,0.088,0.488,0.866
2231694,692.0,8208.0,5366.0,72.0,933.0,-622.0,0.059,0.078,0.49,0.866
2231706,464.0,8326.0,5612.0,23.0,1046.0,-707.0,0.06,0.066,0.491,0.867
2231728,204.0,8440.0,5706.0,-36.0,1159.0,-771.0,0.061,0.053,0.492,0.867
2231740,-46.0,8664.0,5856.0,-156.0,1298.0,-852.0,0.062,0.039,0.492,0.868
2231762,-246.0,8994.0,6232.0,-415.0,1458.0,-931.0,0.063,0.023,0.489,0.87
2231774,-502.0,8732.0,6350.0,-724.0,1553.0,-995.0,0.064,0.005,0.484,0.872
2231796,-692.0,7662.0,6308.0,-913.0,1640.0,-1054.0,0.065,-0.013,0.478,0.876
2231808,-1158.0,6616.0,6432.0,-964.0,1755.0,-1057.0,0.066,-0.033,0.471,0.879
2231830,-1366.0,6174.0,5798.0,-1071.0,1837.0,-1038.0,0.066,-0.053,0.463,0.883
2231842,-1594.0,6202.0,5684.0,-1416.0,1965.0,-890.0,0.064,-0.074,0.451,0.887
2231864,-1494.0,6134.0,5580.0,-1983.0,2061.0,-688.0,0.06,-0.095,0.435,0.893
2231886,-1764.0,4336.0,5522.0,-2323.0,2128.0,-432.0,0.053,-0.115,0.417,0.9
2231898,-1906.0,3446.0,5190.0,-2163.0,2200.0,-387.0,0.046,-0.136,0.399,0.906
