timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
1242661,1550.0,-3580.0,6465.0,-104.0,-1239.0,-1349.0,0.692,0.182,0.31,0.626
1242683,1984.0,256.0,13147.0,839.0,-843.0,155.0,0.692,0.193,0.309,0.623
1242695,-896.0,-244.0,11231.0,2275.0,-579.0,1998.0,0.677,0.217,0.315,0.628
1242717,-1806.0,12642.0,9715.0,1379.0,332.0,2358.0,0.66,0.231,0.32,0.64
1242729,-1426.0,9206.0,7483.0,188.0,-51.0,1527.0,0.65,0.237,0.318,0.648
1242751,-322.0,7536.0,6139.0,-227.0,356.0,1135.0,0.643,0.237,0.316,0.656
1242763,-1466.0,7998.0,7833.0,-765.0,-3.0,701.0,0.64,0.234,0.309,0.663
1242785,-530.0,6082.0,11009.0,-1565.0,56.0,466.0,0.641,0.226,0.299,0.67
1242797,-698.0,2918.0,10683.0,-1673.0,927.0,189.0,0.64,0.211,0.293,0.678
1242819,-1688.0,1570.0,9775.0,-1180.0,1025.0,222.0,0.639,0.198,0.291,0.684
1242841,-1636.0,1598.0,8601.0,-534.0,1151.0,185.0,0.636,0.187,0.294,0.689
1242853,-1430.0,4508.0,7745.0,-420.0,1225.0,284.0,0.631,0.178,0.298,0.694
1242875,-1646.0,4388.0,7167.0,-1003.0,1100.0,340.0,0.628,0.165,0.297,0.7
1242887,-2184.0,4356.0,6319.0,-1267.0,984.0,106.0,0.627,0.152,0.294,0.706
1242909,-2220.0,4156.0,5271.0,-1696.0,770.0,-46.0,0.627,0.137,0.287,0.711
1242921,-2502.0,2560.0,4589.0,-2082.0,523.0,-67.0,0.629,0.121,0.276,0.717
1242943,-2652.0,1352.0,4679.0,-2034.0,291.0,25.0,0.63,0.107,0.264,0.722
1242955,-2904.0,1528.0,5089.0,-1695.0,79.0,295.0,0.63,0.097,0.253,0.728
1242977,-3034.0,3974.0,6469.0,-1432.0,-130.0,427.0,0.629,0.091,0.242,0.733
1242999,-2794.0,4828.0,6257.0,-1668.0,-294.0,334.0,0.629,0.084,0.229,0.738
1243011,-3020.0,2766.0,5171.0,-1924.0,-421.0,321.0,0.629,0.076,0.213,0.744
1243033,-3282.0,856.0,4347.0,-1749.0,-561.0,413.0,0.629,0.071,0.197,0.749
1243045,-3178.0,-220.0,4153.0,-1564.0,-706.0,459.0,0.628,0.068,0.181,0.754
1243067,-3206.0,674.0,4981.0,-1414.0,-935.0,523.0,0.627,0.067,0.166,0.758
1243079,-2334.0,3098.0,7017.0,-1155.0,-1141.0,450.0,0.626,0.069,0.151,0.762
1243101,-2118.0,3898.0,7615.0,-1251.0,-1161.0,375.0,0.626,0.07,0.135,0.765
1243113,-1996.0,2440.0,7407.0,-1248.0,-1092.0,334.0,0.626,0.071,0.12,0.767
1243135,-1532.0,1802.0,6467.0,-1129.0,-990.0,428.0,0.625,0.072,0.105,0.77
1243147,-1372.0,1616.0,6047.0,-1134.0,-936.0,487.0,0.624,0.073,0.091,0.773
1243169,-1354.0,1392.0,6335.0,-1127.0,-999.0,486.0,0.622,0.074,0.077,0.775
1243191,-614.0,1874.0,6913.0,-983.0,-1016.0,521.0,0.62,0.076,0.063,0.778
1243203,-302.0,2714.0,7511.0,-940.0,-1044.0,474.0,0.618,0.079,0.05,0.78
