timeMs,ax,ay,az,q0,q1,q2,q3
318146,0.341,0.377,0.333,0.794
318162,0.341,0.377,0.333,0.794
318178,0.341,0.377,0.333,0.794
318194,0.341,0.377,0.334,0.794
318210,0.341,0.377,0.334,0.794
318226,0.341,0.377,0.334,0.794
318252,0.341,0.377,0.334,0.794
318268,0.341,0.377,0.334,0.794
318284,0.341,0.377,0.334,0.794
318300,0.341,0.377,0.334,0.794
318316,0.341,0.377,0.334,0.794
318332,0.341,0.377,0.334,0.794
318358,0.341,0.377,0.334,0.794
318374,0.341,0.377,0.334,0.794
318390,0.341,0.377,0.334,0.794
318406,0.341,0.377,0.334,0.794
318422,0.341,0.377,0.334,0.794
318439,0.341,0.377,0.334,0.794
318455,0.341,0.377,0.334,0.794
318471,0.341,0.377,0.334,0.794
318498,0.341,0.377,0.334,0.794
318514,0.341,0.377,0.334,0.794
318531,0.341,0.377,0.334,0.794
318547,0.341,0.377,0.334,0.794
318563,0.341,0.377,0.334,0.794
318579,0.341,0.377,0.334,0.794
318595,0.341,0.377,0.334,0.794
318612,0.342,0.377,0.334,0.794
318628,0.342,0.377,0.334,0.794
318654,0.342,0.377,0.334,0.794
318670,0.341,0.377,0.334,0.794
318686,0.341,0.377,0.334,0.794
318702,0.341,0.377,0.335,0.793
318719,0.341,0.377,0.335,0.793
318735,0.341,0.377,0.335,0.793
318751,0.341,0.377,0.335,0.793
318777,0.341,0.377,0.335,0.793
318793,0.341,0.377,0.335,0.793
318809,0.341,0.376,0.336,0.793
318825,0.341,0.376,0.336,0.793
318841,0.341,0.376,0.336,0.793
318857,0.341,0.376,0.337,0.793
318873,0.341,0.376,0.337,0.793
318899,0.341,0.376,0.337,0.793
318915,0.342,0.376,0.337,0.793
318931,0.342,0.376,0.337,0.792
318947,0.342,0.376,0.338,0.792
318963,0.342,0.376,0.339,0.792
318979,0.341,0.377,0.341,0.791
318995,0.341,0.378,0.344,0.789
319021,0.34,0.379,0.348,0.787
319037,0.339,0.38,0.353,0.785
319053,0.337,0.382,0.36,0.781
319069,0.336,0.384,0.367,0.778
319085,0.333,0.387,0.377,0.773
319101,0.329,0.39,0.388,0.767
319128,0.324,0.395,0.402,0.76
319144,0.315,0.401,0.419,0.751
319160,0.304,0.409,0.442,0.738
319176,0.291,0.417,0.467,0.723
319192,0.279,0.423,0.492,0.707
319208,0.269,0.429,0.515,0.692
319224,0.26,0.432,0.534,0.678
319240,0.255,0.433,0.549,0.668
319266,0.253,0.433,0.559,0.66
319282,0.252,0.433,0.567,0.654
319298,0.252,0.432,0.574,0.649
319314,0.253,0.431,0.58,0.643
319331,0.254,0.431,0.587,0.637
319347,0.255,0.43,0.592,0.632
319363,0.257,0.429,0.598,0.627
319389,0.259,0.427,0.603,0.622
319405,0.262,0.426,0.607,0.618
319422,0.265,0.425,0.609,0.615
319438,0.268,0.425,0.61,0.613
319454,0.272,0.425,0.609,0.612
319470,0.278,0.425,0.606,0.612
319487,0.286,0.424,0.602,0.613
319504,0.293,0.424,0.598,0.614
319520,0.3,0.424,0.593,0.615
319546,0.308,0.424,0.588,0.616
319563,0.315,0.424,0.581,0.619
319579,0.322,0.423,0.575,0.622
319595,0.329,0.422,0.568,0.625
319611,0.335,0.42,0.563,0.628
319627,0.34,0.418,0.559,0.63
319644,0.344,0.417,0.556,0.631
319660,0.348,0.415,0.554,0.632
319677,0.351,0.412,0.553,0.634
319694,0.354,0.409,0.552,0.635
319721,0.357,0.407,0.55,0.636
319737,0.359,0.405,0.549,0.637
319754,0.362,0.403,0.546,0.639
319770,0.365,0.401,0.543,0.641
