timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
142812,266.0,5108.0,4920.0,450.0,-104.0,-526.0,0.522,0.141,-0.328,-0.775
142834,714.0,4800.0,4986.0,611.0,-229.0,-522.0,0.517,0.144,-0.332,-0.776
142856,844.0,4902.0,4354.0,801.0,-41.0,-628.0,0.512,0.15,-0.337,-0.776
142868,564.0,5154.0,3776.0,890.0,-24.0,-596.0,0.507,0.156,-0.343,-0.775
142890,950.0,5846.0,3444.0,861.0,-136.0,-478.0,0.502,0.161,-0.349,-0.775
142902,1150.0,5524.0,3804.0,721.0,-280.0,-417.0,0.497,0.164,-0.355,-0.774
142924,1154.0,6232.0,4188.0,700.0,-440.0,-226.0,0.494,0.165,-0.362,-0.773
142936,502.0,3382.0,5606.0,817.0,-482.0,-435.0,0.488,0.167,-0.369,-0.773
142958,2158.0,5818.0,5708.0,979.0,-457.0,-821.0,0.48,0.171,-0.377,-0.773
142970,2292.0,6258.0,5402.0,831.0,-300.0,-498.0,0.475,0.175,-0.383,-0.773
142992,2388.0,7504.0,5750.0,491.0,-190.0,-200.0,0.473,0.177,-0.387,-0.772
143014,2168.0,7710.0,6380.0,188.0,-25.0,-149.0,0.472,0.178,-0.388,-0.771
143026,1626.0,7792.0,6036.0,19.0,88.0,-286.0,0.47,0.18,-0.387,-0.772
143048,2176.0,7220.0,5536.0,-269.0,76.0,-274.0,0.47,0.181,-0.384,-0.774
143060,1550.0,6630.0,4920.0,-380.0,255.0,-81.0,0.471,0.181,-0.38,-0.775
143082,1434.0,6520.0,4208.0,-366.0,235.0,-90.0,0.473,0.182,-0.377,-0.775
143094,1582.0,6456.0,4140.0,-393.0,244.0,-70.0,0.475,0.183,-0.373,-0.776
143116,1536.0,6334.0,4494.0,-465.0,221.0,-76.0,0.476,0.183,-0.368,-0.777
143128,1440.0,5958.0,5052.0,-483.0,218.0,-98.0,0.478,0.182,-0.364,-0.779
143150,1410.0,5476.0,5502.0,-410.0,237.0,-65.0,0.479,0.183,-0.36,-0.779
143162,1316.0,5918.0,5632.0,-300.0,289.0,14.0,0.482,0.183,-0.356,-0.78
143184,1328.0,6570.0,5498.0,-244.0,313.0,61.0,0.484,0.185,-0.353,-0.779
143206,1126.0,7010.0,5146.0,-357.0,315.0,37.0,0.487,0.185,-0.349,-0.779
143218,960.0,6546.0,5214.0,-478.0,309.0,-19.0,0.489,0.186,-0.344,-0.78
143240,888.0,5664.0,5414.0,-479.0,294.0,-68.0,0.491,0.186,-0.339,-0.781
143252,882.0,5682.0,5544.0,-319.0,261.0,6.0,0.493,0.187,-0.336,-0.781
143274,822.0,5760.0,5682.0,-215.0,196.0,34.0,0.495,0.187,-0.333,-0.781
143286,902.0,6240.0,5850.0,-236.0,203.0,48.0,0.497,0.188,-0.331,-0.78
143308,578.0,6044.0,5424.0,-314.0,216.0,52.0,0.499,0.188,-0.328,-0.78
143320,442.0,6112.0,5174.0,-294.0,211.0,20.0,0.501,0.188,-0.324,-0.78
143342,384.0,5990.0,5082.0,-288.0,104.0,-4.0,0.502,0.188,-0.322,-0.78
143364,418.0,5836.0,5150.0,-285.0,-31.0,3.0,0.503,0.187,-0.32,-0.781
143376,490.0,5714.0,5424.0,-203.0,-14.0,-16.0,0.504,0.186,-0.318,-0.781
143398,722.0,6172.0,5862.0,-166.0,7.0,-64.0,0.504,0.186,-0.317,-0.781
143415,682.0,6598.0,6130.0,-160.0,122.0,-145.0,0.505,0.186,-0.315,-0.782
143427,394.0,6072.0,6010.0,-370.0,132.0,-158.0,0.505,0.186,-0.311,-0.783
143449,192.0,5328.0,5640.0,-373.0,115.0,-174.0,0.505,0.186,-0.308,-0.784
143461,364.0,5404.0,5700.0,-194.0,130.0,-198.0,0.505,0.187,-0.305,-0.785
143483,510.0,5474.0,5942.0,-19.0,109.0,-227.0,0.505,0.189,-0.304,-0.786
143495,644.0,5832.0,6156.0,137.0,126.0,-138.0,0.504,0.191,-0.304,-0.785
143517,878.0,6270.0,6594.0,178.0,195.0,-62.0,0.505,0.193,-0.304,-0.784
143539,678.0,6424.0,6376.0,149.0,260.0,-119.0,0.505,0.197,-0.304,-0.784
143551,514.0,6252.0,5926.0,34.0,296.0,-140.0,0.506,0.2,-0.302,-0.783
143573,336.0,5658.0,5554.0,-15.0,297.0,-175.0,0.506,0.202,-0.301,-0.783
143585,206.0,5494.0,5398.0,35.0,238.0,-186.0,0.506,0.205,-0.299,-0.783
143607,458.0,5792.0,5530.0,142.0,217.0,-138.0,0.506,0.208,-0.299,-0.782
143619,506.0,6164.0,5594.0,123.0,188.0,-101.0,0.506,0.21,-0.299,-0.781
143641,578.0,6260.0,5774.0,78.0,147.0,-101.0,0.506,0.212,-0.298,-0.781
