timeMs,ax,ay,az,gx,gy,gz,q0,q1,q2,q3
5518657,-767.0,10506.0,1926.0,-274.0,0.0,989.0,0.631,0.462,0.499,0.373
5518680,-1733.0,12854.0,2202.0,-230.0,-22.0,741.0,0.629,0.464,0.495,0.379
5518693,-1907.0,14336.0,2492.0,-174.0,98.0,353.0,0.628,0.465,0.493,0.382
5518716,-2327.0,15284.0,3514.0,-120.0,187.0,3.0,0.628,0.463,0.494,0.383
5518729,-3267.0,14438.0,2638.0,-279.0,203.0,-532.0,0.63,0.458,0.496,0.382
5518752,-3193.0,11270.0,1750.0,-383.0,140.0,-603.0,0.633,0.453,0.498,0.381
5518765,-2641.0,8352.0,1240.0,-395.0,24.0,-460.0,0.637,0.448,0.499,0.38
5518778,-2459.0,7066.0,886.0,-310.0,-108.0,-440.0,0.64,0.445,0.499,0.379
5518801,-1883.0,6362.0,896.0,-183.0,-232.0,-339.0,0.643,0.443,0.498,0.377
5518814,-1435.0,5804.0,1086.0,-217.0,-330.0,-106.0,0.646,0.443,0.496,0.376
5518837,-1233.0,4974.0,766.0,-326.0,-426.0,108.0,0.649,0.443,0.492,0.376
5518850,-561.0,5452.0,376.0,-273.0,-426.0,279.0,0.651,0.444,0.487,0.377
5518873,-795.0,6542.0,600.0,-300.0,-425.0,464.0,0.652,0.446,0.481,0.38
5518886,-797.0,6522.0,662.0,-308.0,-406.0,612.0,0.653,0.448,0.475,0.383
5518909,-1221.0,8624.0,784.0,-237.0,-333.0,519.0,0.654,0.45,0.47,0.386
5518922,-1619.0,9606.0,1258.0,-180.0,-229.0,435.0,0.654,0.452,0.466,0.388
5518945,-1943.0,11230.0,996.0,-129.0,-130.0,325.0,0.654,0.453,0.464,0.39
5518958,-2339.0,10870.0,1268.0,-135.0,-46.0,104.0,0.654,0.453,0.462,0.391
5518971,-2405.0,8822.0,1214.0,-123.0,26.0,4.0,0.654,0.452,0.462,0.392
5518994,-2501.0,7408.0,1034.0,-41.0,17.0,-85.0,0.655,0.452,0.462,0.392
5519007,-2635.0,6748.0,1110.0,-4.0,-34.0,-145.0,0.656,0.451,0.463,0.391
5520524,-2523.0,6344.0,1116.0,102.0,-104.0,-37.0,1.0,0.0,0.001,0.009
5520550,145.0,-133.0,7188.0,21078.0,6845.0,26023.0,0.807,0.418,0.416,0.024
5520557,145.0,-133.0,7188.0,6859.0,3856.0,385.0,0.887,0.462,0.004,0.0
5520572,16400.0,-15296.0,-1407.0,6859.0,3856.0,385.0,1.0,0.0,-0.007,-0.008
5520603,-1267.0,7864.0,2008.0,18.0,126.0,35.0,0.656,0.437,0.433,0.436
5520626,-1351.0,7820.0,1988.0,-7.0,138.0,26.0,0.655,0.436,0.435,0.438
5520639,-1257.0,7668.0,2046.0,11.0,138.0,21.0,0.654,0.435,0.436,0.439
5520662,-1335.0,7850.0,2064.0,30.0,135.0,11.0,0.653,0.435,0.437,0.44
5520675,-1367.0,7866.0,1976.0,34.0,113.0,10.0,0.652,0.434,0.438,0.442
5520688,-1369.0,7810.0,1954.0,43.0,92.0,2.0,0.651,0.433,0.439,0.442
5520711,-1341.0,7866.0,2096.0,66.0,68.0,7.0,0.65,0.433,0.44,0.443
5520724,-1305.0,7788.0,2030.0,83.0,56.0,7.0,0.648,0.433,0.441,0.444
5520747,-1297.0,7900.0,1962.0,92.0,43.0,5.0,0.647,0.433,0.442,0.444
5520760,-1249.0,7890.0,2010.0,71.0,46.0,10.0,0.646,0.433,0.443,0.445
5520783,-1297.0,7910.0,1978.0,54.0,58.0,17.0,0.645,0.433,0.444,0.446
5520796,-1255.0,7898.0,2010.0,26.0,65.0,9.0,0.644,0.432,0.445,0.447
5520819,-1297.0,7872.0,2022.0,38.0,57.0,9.0,0.643,0.432,0.446,0.448
5520832,-1187.0,7872.0,2012.0,58.0,62.0,5.0,0.642,0.432,0.447,0.449
5520845,-1307.0,7882.0,1976.0,67.0,53.0,3.0,0.641,0.431,0.448,0.449
5520868,-1293.0,7856.0,1880.0,63.0,64.0,2.0,0.64,0.431,0.449,0.45
5520881,-1375.0,8020.0,1734.0,-66.0,83.0,1.0,0.64,0.43,0.45,0.451
5520904,-1393.0,7992.0,1890.0,-144.0,88.0,17.0,0.639,0.428,0.45,0.453
5520917,-1277.0,7884.0,2032.0,-146.0,77.0,21.0,0.639,0.427,0.45,0.455
5520940,-1321.0,7808.0,2026.0,-78.0,70.0,15.0,0.639,0.426,0.45,0.456
5520953,-1353.0,7774.0,1950.0,-19.0,49.0,5.0,0.638,0.425,0.451,0.457
5520976,-1321.0,7850.0,1874.0,8.0,51.0,2.0,0.637,0.425,0.452,0.458
