timeMs,ax,ay,az,q0,q1,q2,q3,
37504,36,306,9810,0.2293,-0.0012,-0.0376,0.9726
37526,64,284,9820,0.2292,-0.0012,-0.0376,0.9726
37548,54,342,9830,0.2292,-0.0014,-0.0377,0.9726
37560,44,344,9780,0.2293,-0.0016,-0.0377,0.9726
37582,18,358,9816,0.2293,-0.0018,-0.0377,0.9726
37594,12,352,9844,0.2294,-0.0019,-0.0377,0.9725
37616,18,336,9846,0.2293,-0.0019,-0.0377,0.9725
37628,22,296,9736,0.2294,-0.0019,-0.0377,0.9725
37650,62,314,9838,0.2296,-0.0019,-0.0376,0.9725
37662,2,276,9864,0.2296,-0.0019,-0.0376,0.9725
37684,18,328,9830,0.2295,-0.0019,-0.0376,0.9725
37696,46,280,9806,0.2296,-0.002,-0.0374,0.9725
37718,36,334,9810,0.2296,-0.002,-0.0374,0.9725
37740,22,360,9794,0.2296,-0.002,-0.0374,0.9725
37752,28,354,9818,0.2297,-0.002,-0.0374,0.9725
37774,-8,366,9838,0.2297,-0.002,-0.0374,0.9725
37786,-26,312,9838,0.2298,-0.002,-0.0374,0.9725
37808,16,354,9840,0.2297,-0.0021,-0.0374,0.9725
37820,-16,334,9810,0.2297,-0.0021,-0.0374,0.9725
37842,8,278,9838,0.2297,-0.0021,-0.0375,0.9725
37854,-2,296,9776,0.2296,-0.0022,-0.0375,0.9725
37876,26,308,9848,0.2298,-0.0022,-0.0374,0.9724
37888,-2,312,9778,0.2297,-0.0022,-0.0374,0.9725
37910,12,278,9800,0.2297,-0.0022,-0.0374,0.9725
37932,34,282,9804,0.2297,-0.0023,-0.0374,0.9725
37944,-50,304,9786,0.2297,-0.0024,-0.0374,0.9725
37966,54,300,9810,0.2297,-0.0024,-0.0373,0.9725
37978,10,312,9756,0.2298,-0.0024,-0.0373,0.9725
38000,34,318,9800,0.2298,-0.0024,-0.0373,0.9724
38012,54,318,9826,0.2299,-0.0024,-0.0373,0.9724
38034,16,278,9822,0.2299,-0.0025,-0.0373,0.9724
38046,48,338,9790,0.23,-0.0025,-0.0373,0.9724
38068,-16,324,9802,0.23,-0.0026,-0.0373,0.9724
38090,2,276,9842,0.23,-0.0026,-0.0372,0.9724
38102,50,320,9804,0.2301,-0.0026,-0.0372,0.9724
38124,66,304,9812,0.2301,-0.0026,-0.0372,0.9724
38136,46,330,9796,0.2301,-0.0026,-0.0371,0.9724
38158,30,278,9844,0.2301,-0.0027,-0.0371,0.9724
38170,44,264,9794,0.2301,-0.0027,-0.0372,0.9724
38192,-16,266,9818,0.2301,-0.0027,-0.0372,0.9724
38204,-6,332,9798,0.2302,-0.0027,-0.0372,0.9724
38226,50,340,9810,0.2301,-0.0027,-0.0372,0.9724
38238,42,362,9852,0.23,-0.0028,-0.0371,0.9724
38260,72,296,9788,0.2301,-0.0028,-0.0371,0.9724
38282,-64,280,9826,0.23,-0.0029,-0.0371,0.9724
38294,-46,304,9818,0.23,-0.0029,-0.0371,0.9724
38316,6,318,9764,0.2299,-0.0029,-0.0371,0.9724
38328,72,292,9824,0.2299,-0.0028,-0.0371,0.9724
38350,16,350,9786,0.2299,-0.0029,-0.0371,0.9724
38362,18,276,9808,0.2298,-0.0028,-0.0371,0.9725
38384,-50,282,9786,0.2298,-0.0029,-0.0371,0.9725
38396,-10,280,9722,0.2297,-0.0029,-0.0371,0.9725
38418,6,374,9856,0.2297,-0.0029,-0.0371,0.9725
